"registration_date,""stolen_date"",""brand"",""model"",""province"""
"2015-06-19,""2018-04-25"",""HONDA"",""SH125AD"",""B"""
"2016-02-29,""2018-04-25"",""KAWASAKI"",""J300 ABS"",""M"""
"2009-07-20,""2018-04-25"",""SUZUKI"",""UH125"",""SE"""
"2018-02-16,""2018-04-25"",""PIAGGIO"",""LIBERTY"",""M"""
"2014-09-05,""2018-04-25"",""HONDA"",""SH125AD"",""B"""
"2008-04-11,""2018-04-25"",""JONWAY ITALIA"",""YY125T-3"",""GR"""
"1996-10-10,""2018-04-25"",""HONDA"",""SH100"",""B"""
"2015-07-27,""2018-04-25"",""PIAGGIO"",""LIBERTY 125 POSTE SP"",""IB"""
"2013-12-13,""2018-04-25"",""S.Y.M"",""JOYMAX 125 GTS"",""M"""
"2016-07-01,""2018-04-25"",""HONDA"",""WW125EX2"",""MA"""
"2014-09-23,""2018-04-25"",""S.Y.M"",""SYMPH0NY 125 S"",""GC"""
"2010-01-13,""2018-04-25"",""HONDA"",""SH125"",""B"""
"2009-04-07,""2018-04-25"",""WANGYE"",""WILDLANDER GLASSE"",""A"""
"2016-02-03,""2018-04-25"",""HONDA"",""SH125D"",""B"""
"2005-01-05,""2018-04-26"",""HONDA"",""SH150"",""B"""
"2002-05-24,""2018-04-26"",""PIAGGIO"",""SKIPPER ST 150"",""M"""
"2008-07-17,""2018-04-26"",""YAMAHA"",""YP125E"",""CA"""
"2015-04-28,""2018-04-26"",""HONDA"",""SH125AD"",""B"""
"2007-12-05,""2018-04-26"",""YAMAHA"",""YP125R"",""B"""
"2018-02-28,""2018-04-26"",""KAWASAKI"",""Z900"",""M"""
"2016-06-20,""2018-04-26"",""HONDA"",""SH125D"",""B"""
"2017-05-24,""2018-04-26"",""YAMAHA"",""MT07A"",""B"""
"2015-04-01,""2018-04-26"",""HONDA"",""SH125AD"",""B"""
"2014-02-26,""2018-04-26"",""HONDA"",""NSC110MPD"",""B"""
"2016-01-13,""2018-04-26"",""HONDA"",""SH125AD"",""B"""
"2013-10-18,""2018-04-26"",""HONDA"",""SH125D"",""B"""
"2006-11-06,""2018-04-26"",""HONDA"",""SH125"",""B"""
"2017-09-14,""2018-04-26"",""KAWASAKI"",""J300"",""B"""
"2010-10-29,""2018-04-26"",""YAMAHA"",""YP125E"",""CA"""
"2013-03-05,""2018-04-26"",""HONDA"",""WWW125"",""B"""
"2010-07-06,""2018-04-26"",""S.Y.M"",""VS 125"",""O"""
"1994-06-24,""2018-04-26"",""VESPA"",""SKIPPER 150"",""V"""
"2012-07-24,""2018-04-27"",""KYMCO"",""SUPER DINK 300 ABS"",""M"""
"2014-04-22,""2018-04-27"",""S.Y.M"",""SYMPHONY 125 S"",""IB"""
"2015-11-13,""2018-04-27"",""HONDA"",""SH125AD"",""B"""
"2015-06-12,""2018-04-27"",""HONDA"",""SH125AD"",""B"""
"2017-03-31,""2018-04-27"",""YAMAHA"",""MT07A"",""M"""
"2017-05-23,""2018-04-27"",""PIAGGIO"",""MEDLEY"",""CA"""
"2014-09-29,""2018-04-27"",""HONDA"",""NSC110MPD"",""B"""
"2015-09-25,""2018-04-27"",""HONDA"",""SH125AD"",""B"""
"2011-02-28,""2018-04-27"",""KTM"",""KTM 690 SM"",""M"""
"2010-04-20,""2018-04-27"",""HONDA"",""SH125"",""B"""
"2015-09-10,""2018-04-27"",""YAMAHA"",""YP125R"",""S"""
"2006-08-22,""2018-04-27"",""KYMCO"",""ZING II 125"",""TF"""
"2011-12-22,""2018-04-27"",""KYMCO"",""SUPER DINK 300 ABS"",""M"""
"2016-01-26,""2018-04-27"",""HONDA"",""SH125AD"",""B"""
"1990-07-27,""2018-04-27"",""YAMAHA"",""SR250"",""V"""
"1998-07-24,""2018-04-27"",""PIAGGIO"",""SKIPPER 125"",""PO"""
"2016-08-31,""2018-04-27"",""S.Y.M"",""SYMPHONY 125 SR"",""B"""
"2013-11-19,""2018-04-27"",""PIAGGIO"",""BEVERLY 500"",""TF"""
"2002-11-07,""2018-04-27"",""HONDA"",""SES 150"",""MA"""
"2012-09-18,""2018-04-27"",""SUZUKI"",""UH125"",""M"""
"2014-04-15,""2018-04-27"",""HONDA"",""SH125AD"",""B"""
"2009-05-19,""2018-04-27"",""YAMAHA"",""YP250R"",""MA"""
"2008-05-02,""2018-04-27"",""SUZUKI"",""RV125"",""B"""
"1991-03-26,""2018-04-27"",""HONDA"",""CBR 600F"",""B"""
"2010-07-30,""2018-04-27"",""KYMCO"",""SUPER DINK 300I"",""M"""
"2009-08-13,""2018-04-27"",""DAELIM"",""ROADWIN"",""T"""
"2008-08-07,""2018-04-27"",""PIAGGIO"",""VESPA LX 125"",""SE"""
"2016-01-14,""2018-04-27"",""KYMCO"",""AGILITY CITY 125"",""B"""
"2016-05-26,""2018-04-28"",""HONDA"",""SH125D"",""B"""
"2007-07-18,""2018-04-28"",""HONDA"",""SCV100"",""B"""
"1998-08-03,""2018-04-28"",""HONDA"",""CB TWO FIFTY"",""B"""
"2007-07-06,""2018-04-28"",""RIEJU"",""NKD 125"",""T"""
"2005-08-08,""2018-04-28"",""YAMAHA"",""YBR125"",""SE"""
"2015-12-16,""2018-04-28"",""HONDA"",""SH125D"",""B"""
"2008-01-14,""2018-04-28"",""SUZUKI"",""GS500F"",""CO"""
"2010-10-22,""2018-04-28"",""SAMADA"",""BEACH"",""SE"""
"2011-07-13,""2018-04-28"",""KTM"",""KTM 690 DUKE"",""B"""
"2007-12-03,""2018-04-28"",""PIAGGIO"",""BEVERLY 125"",""GC"""
"2006-07-20,""2018-04-28"",""YAMAHA"",""YBR125"",""M"""
"2014-01-10,""2018-04-28"",""S.Y.M"",""SYMPHONY 125 SR"",""M"""
"2010-11-18,""2018-04-28"",""YAMAHA"",""YP250R"",""M"""
"2016-11-09,""2018-04-28"",""S.Y.M"",""SYMPHONY 125 S"",""B"""
"2015-11-04,""2018-04-29"",""HONDA"",""SH125AD"",""B"""
"2015-05-05,""2018-04-29"",""HONDA"",""SH125D"",""B"""
"2014-02-25,""2018-04-29"",""KYMCO"",""AGILITY CITY 125"",""IB"""
"2009-06-16,""2018-04-29"",""PIAGGIO"",""VESPA GTS 250"",""PO"""
"2017-01-18,""2018-04-29"",""HONDA"",""SH125D"",""B"""
"2016-06-16,""2018-04-29"",""HONDA"",""SH125AD"",""B"""
"2007-10-25,""2018-04-29"",""HYOSUNG"",""GT 125"",""TO"""
"2015-12-30,""2018-04-29"",""HONDA"",""SH125AD"",""B"""
"2006-12-15,""2018-04-29"",""KYMCO"",""PEOPLE 125"",""TF"""
"2005-07-20,""2018-04-29"",""SUZUKI"",""UH150"",""B"""
"2010-03-31,""2018-04-29"",""YAMAHA"",""YP250R"",""B"""
"2016-10-25,""2018-04-29"",""HONDA"",""SH125D"",""B"""
"2015-04-16,""2018-04-29"",""PEUGEOT"",""TWEET"",""IB"""
"2014-12-05,""2018-04-29"",""HONDA"",""SH125AD"",""B"""
"2016-11-16,""2018-04-29"",""HONDA"",""SH125AD"",""B"""
"2015-04-29,""2018-04-29"",""KYMCO"",""K-XCT 125"",""IB"""
"2005-06-17,""2018-04-30"",""HONDA"",""SH150"",""A"""
"1988-12-21,""2018-04-30"",""VESPA"",""IRIS 200"",""A"""
"2014-09-04,""2018-04-30"",""PIAGGIO"",""LIBERTY 125"",""B"""
"2003-09-05,""2018-04-30"",""YAMAHA"",""YZF R6"",""A"""
"2015-03-05,""2018-04-30"",""PIAGGIO"",""LIBERTY 125 3V"",""V"""
"2016-09-26,""2018-04-30"",""PIAGGIO"",""X EVO 125"",""M"""
"2005-09-01,""2018-04-30"",""HONDA"",""SH 150"",""MA"""
"2016-07-05,""2018-04-30"",""KYMCO"",""XCITING 400 ABS"",""MA"""
"1967-10-05,""2018-04-30"",""VESPA"",""150"",""MU"""
"2016-07-01,""2018-04-30"",""HONDA"",""SH125D"",""B"""
"2015-12-21,""2018-04-30"",""PIAGGIO"",""BEVERLY 125 I E"",""GC"""
"1966-09-03,""2018-04-30"",""BULTACO"",""SHERPA 200"",""MU"""
"2007-03-29,""2018-04-30"",""SUZUKI"",""GSXÑR750"",""M"""
"2016-07-26,""2018-04-30"",""HONDA"",""SH125D"",""B"""
"2008-05-14,""2018-04-30"",""YAMAHA"",""XCITY"",""B"""
"2015-06-30,""2018-04-30"",""HONDA"",""WW125EX"",""B"""
"2016-05-18,""2018-04-30"",""HONDA"",""SH125AD"",""B"""
"2015-03-11,""2018-04-30"",""HONDA"",""SH125AD"",""B"""
"2005-05-18,""2018-04-30"",""HONDA"",""SES125"",""MA"""
"2014-04-14,""2018-05-01"",""HONDA"",""SH125D"",""B"""
"2005-09-07,""2018-05-01"",""YAMAHA"",""NXC 125"",""CA"""
"2016-09-26,""2018-05-01"",""HONDA"",""SH125D"",""GI"""
"2015-11-17,""2018-05-01"",""HONDA"",""WW125EX"",""CA"""
"2015-08-05,""2018-05-01"",""HONDA"",""SH125D"",""B"""
"2009-02-02,""2018-05-01"",""KYMCO"",""BETWIN 125-S3"",""V"""
"2010-06-30,""2018-05-01"",""PIAGGIO"",""LIBERTY 125 RST"",""MA"""
"2005-01-05,""2018-05-01"",""PIAGGIO"",""X8 125"",""B"""
"2006-03-24,""2018-05-01"",""BMW"",""F 650 GS"",""CO"""
"2013-05-15,""2018-05-01"",""HONDA"",""SH125AD"",""B"""
"2008-09-19,""2018-05-01"",""SUZUKI"",""GSX R600"",""V"""
"2007-03-15,""2018-05-01"",""SUZUKI"",""GSX R600"",""M"""
"2015-12-04,""2018-05-01"",""HONDA"",""WW125EX"",""CA"""
"2017-10-04,""2018-05-01"",""PEUGEOT"",""TWEET"",""MA"""
"2009-09-10,""2018-05-01"",""KAWASAKI"",""KLX 450R"",""C"""
"2005-02-23,""2018-05-01"",""HONDA"",""ANF 125"",""CE"""
"2010-01-28,""2018-05-01"",""BMW"",""S1000RR"",""M"""
"2014-06-11,""2018-05-01"",""HONDA"",""SH125D"",""B"""
"1999-04-15,""2018-05-01"",""DAELIM"",""TRS 125 FELLOW"",""TO"""
"2011-06-10,""2018-05-02"",""S.Y.M"",""SYMPHONY 125 SR"",""GI"""
"2007-01-10,""2018-05-02"",""HONDA"",""SES125"",""B"""
"2011-02-09,""2018-05-02"",""DAELIM"",""SN 125"",""GC"""
"2016-01-28,""2018-05-02"",""HONDA"",""SH125D"",""B"""
"2008-05-19,""2018-05-02"",""TBQ"",""STREET FIRE"",""B"""
"2005-01-03,""2018-05-02"",""HONDA"",""SH150"",""B"""
"2014-11-04,""2018-05-02"",""HONDA"",""SH125D"",""B"""
"2000-03-07,""2018-05-02"",""HONDA"",""XR 400 R"",""V"""
"2016-09-20,""2018-05-02"",""PEUGEOT"",""CITYSTAR"",""M"""
"2014-10-23,""2018-05-02"",""KYMCO"",""SUPER DINK 125"",""CA"""
"2015-03-11,""2018-05-02"",""KYMCO"",""SUPER DINK 125"",""CO"""
"2012-11-27,""2018-05-02"",""PIAGGIO"",""X7 EVO 125 IE"",""SE"""
"2013-07-23,""2018-05-02"",""HONDA"",""SH125AD"",""B"""
"2015-04-10,""2018-05-02"",""HONDA"",""WW125EX"",""J"""
"2008-01-18,""2018-05-02"",""YAMAHA"",""CIGNUS-X"",""GR"""
"2004-03-16,""2018-05-02"",""HONDA"",""SH125"",""B"""
"2016-11-02,""2018-05-02"",""HONDA"",""SH125D"",""B"""
"2013-01-10,""2018-05-02"",""HONDA"",""SH125AD"",""B"""
"2016-01-25,""2018-05-02"",""HONDA"",""SH125AD"",""B"""
"1998-10-22,""2018-05-02"",""HONDA"",""SH100"",""B"""
"2008-12-19,""2018-05-02"",""KAWASAKI"",""Z750"",""M"""
"2011-06-01,""2018-05-02"",""KYMCO"",""SUPER DINK 300I"",""M"""
"2016-09-15,""2018-05-02"",""HONDA"",""SH125D"",""B"""
"2015-04-14,""2018-05-02"",""HONDA"",""SH125D"",""B"""
"2017-05-19,""2018-05-03"",""HONDA"",""SH125AD"",""B"""
"2002-07-10,""2018-05-03"",""HONDA"",""SH100"",""B"""
"2010-03-05,""2018-05-03"",""YAMAHA"",""YP125R"",""B"""
"2014-05-07,""2018-05-03"",""HONDA"",""SH125D"",""B"""
"2018-04-20,""2018-05-03"",""KAWASAKI"",""Z900"",""M"""
"2017-05-31,""2018-05-03"",""YAMAHA"",""CZD300-A (X-MAX300)"",""B"""
"2005-01-19,""2018-05-03"",""HONDA"",""SES125"",""MA"""
"2010-10-25,""2018-05-03"",""HONDA"",""NHX110WH"",""B"""
"2014-04-01,""2018-05-03"",""PIAGGIO"",""TYPHOON 125"",""M"""
"2013-10-23,""2018-05-03"",""S.Y.M"",""JOYMAX 300 I GTS 300 I"",""B"""
"2011-11-18,""2018-05-03"",""HONDA"",""NSC110WH"",""B"""
"2000-05-18,""2018-05-03"",""YAMAHA"",""YP 250"",""B"""
"2016-10-04,""2018-05-03"",""HONDA"",""SH125AD"",""B"""
"2014-11-14,""2018-05-03"",""HONDA"",""SH125D"",""B"""
"1997-05-06,""2018-05-03"",""HONDA"",""CHX250"",""MA"""
"2007-01-18,""2018-05-03"",""APRILIA"",""SPORT CITY 250"",""SS"""
"2016-02-02,""2018-05-03"",""HONDA"",""SH125AD"",""B"""
"2016-06-07,""2018-05-03"",""KAWASAKI"",""Z800 ABS"",""M"""
"2016-04-25,""2018-05-03"",""HONDA"",""SH125AD"",""B"""
"1991-02-19,""2018-05-03"",""SUZUKI"",""GN-250"",""B"""
"2015-02-20,""2018-05-03"",""HONDA"",""NC750SD"",""B"""
"2017-02-17,""2018-05-03"",""SUZUKI"",""UH125"",""B"""
"2015-08-11,""2018-05-03"",""HONDA"",""SH125AD"",""MA"""
"2007-09-21,""2018-05-03"",""HONDA"",""SH125"",""B"""
"2015-06-17,""2018-05-03"",""KAWASAKI"",""Z800 ABS"",""B"""
"2014-12-22,""2018-05-03"",""HONDA"",""SH125AD"",""B"""
"2013-05-22,""2018-05-03"",""HONDA"",""NSC110MPD"",""B"""
"2008-02-01,""2018-05-03"",""PIAGGIO"",""VESPA 150 E KA"",""B"""
"2006-11-13,""2018-05-03"",""PIAGGIO"",""LIBERTY 125 4T"",""SE"""
"2013-04-25,""2018-05-03"",""S.Y.M"",""SYMPHONY 125 S"",""IB"""
"2002-08-16,""2018-05-03"",""BMW"",""R 1150 GS"",""MU"""
"2007-03-07,""2018-05-04"",""SUZUKI"",""GSX R 600"",""CA"""
"2002-12-23,""2018-05-04"",""KTM"",""DUKE II"",""TF"""
"2006-01-13,""2018-05-04"",""HONDA"",""SH125"",""B"""
"2007-05-30,""2018-05-04"",""HONDA"",""SH125"",""B"""
"2008-10-28,""2018-05-04"",""KAWASAKI"",""NINJA ZX-6R"",""M"""
"2004-10-05,""2018-05-04"",""PIAGGIO"",""VESPA 150"",""B"""
"2016-08-05,""2018-05-04"",""PEUGEOT"",""TWEET"",""IB"""
"1989-06-22,""2018-05-04"",""YAMAHA"",""SR 250"",""MA"""
"2017-06-01,""2018-05-04"",""HONDA"",""SH125AD"",""B"""
"2005-12-22,""2018-05-04"",""S.Y.M"",""JOYRIDE 125"",""CA"""
"2016-09-13,""2018-05-04"",""HONDA"",""SH125D"",""B"""
"2017-09-13,""2018-05-04"",""BENELLI"",""TNT 125"",""GC"""
"2006-10-09,""2018-05-04"",""PIAGGIO"",""X8 125"",""M"""
"1999-12-02,""2018-05-04"",""HONDA"",""SH100"",""B"""
"2006-12-29,""2018-05-04"",""HONDA"",""SH150"",""B"""
"2016-09-23,""2018-05-04"",""BMW"",""R 1200 GS ADVENTURE"",""A"""
"2014-06-30,""2018-05-04"",""PIAGGIO"",""BEVERLY 125 I.E."",""SE"""
"2005-09-30,""2018-05-04"",""BMW"",""K 1200R"",""M"""
"2006-09-06,""2018-05-04"",""PIAGGIO"",""FLY 100 4T"",""SE"""
"2014-07-30,""2018-05-04"",""SUZUKI"",""UH125A"",""M"""
"2014-02-06,""2018-05-04"",""KAWASAKI"",""Z800"",""M"""
"2006-03-02,""2018-05-04"",""SUZUKI"",""UH125"",""M"""
"2010-05-26,""2018-05-04"",""APRILIA"",""SCARABEO 125"",""M"""
"2005-10-06,""2018-05-04"",""HONDA"",""SES125"",""B"""
"2013-09-10,""2018-05-05"",""YAMAHA"",""YZF-R125"",""B"""
"2017-01-30,""2018-05-05"",""BMW"",""R 1200 GS"",""M"""
"2014-02-12,""2018-05-05"",""KYMCO"",""SUPER DINK 125"",""M"""
"2016-07-05,""2018-05-05"",""YAMAHA"",""YP125R"",""SE"""
"2006-09-28,""2018-05-05"",""HONDA"",""SES150"",""B"""
"2013-06-06,""2018-05-05"",""KYMCO"",""SUPER DINK 125 ABS"",""SE"""
"2006-06-01,""2018-05-05"",""HONDA"",""SES125"",""B"""
"2010-07-27,""2018-05-05"",""KYMCO"",""SUPER DINK 125"",""M"""
"2018-02-14,""2018-05-05"",""HONDA"",""SH300A"",""B"""
"2000-02-24,""2018-05-05"",""KTM"",""640 LC4"",""TF"""
"2006-12-20,""2018-05-05"",""KYMCO"",""AGILITY 125"",""B"""
"2006-11-08,""2018-05-05"",""HONDA"",""NES150"",""SE"""
"2007-01-16,""2018-05-05"",""PIAGGIO"",""X8 400"",""B"""
"2004-10-19,""2018-05-05"",""HONDA"",""SH125"",""GI"""
"2017-12-21,""2018-05-05"",""SUZUKI"",""DL1000"",""GU"""
"2012-10-30,""2018-05-05"",""PIAGGIO"",""VESPA LX 125 IE"",""GR"""
"2009-05-08,""2018-05-05"",""HUSQVARNA"",""TE 450"",""GI"""
"2006-02-23,""2018-05-06"",""HONDA"",""SES125"",""B"""
"2011-03-18,""2018-05-06"",""PIAGGIO"",""LIBERTY 125 RST"",""B"""
"2014-05-29,""2018-05-06"",""MV AGUSTA"",""BRUTALE 800 DRAGSTER E"",""M"""
"2008-01-30,""2018-05-06"",""KTM"",""KTM 250"",""CA"""
"2016-05-06,""2018-05-06"",""HONDA"",""SH125AD"",""B"""
"1997-10-30,""2018-05-06"",""HONDA"",""CB TWO FIFTY"",""B"""
"2007-04-11,""2018-05-06"",""RIEJU"",""TANGO 125"",""SE"""
"2007-05-15,""2018-05-06"",""MALAGUTI"",""MADISON 3 125"",""V"""
"2015-09-16,""2018-05-06"",""S.Y.M"",""JOYMAX 125"",""M"""
"2017-12-07,""2018-05-06"",""YAMAHA"",""XP530D-A  (TMAX DX)"",""B"""
"2011-10-04,""2018-05-06"",""KYMCO"",""GRAND DINK 125"",""B"""
"2013-04-26,""2018-05-06"",""S.Y.M"",""SYMPHONY 125 S"",""B"""
"2007-04-26,""2018-05-07"",""HONDA"",""PES125"",""H"""
"2016-09-16,""2018-05-07"",""HONDA"",""WW125EX2"",""MA"""
"2016-01-18,""2018-05-07"",""HONDA"",""SH300A"",""B"""
"2001-08-30,""2018-05-07"",""YAMAHA"",""XC125"",""CE"""
"2006-04-26,""2018-05-07"",""HONDA"",""SH125"",""M"""
"2017-09-20,""2018-05-07"",""HONDA"",""SH125AD"",""B"""
"2016-10-26,""2018-05-07"",""PEUGEOT"",""TWEET"",""B"""
"2005-07-28,""2018-05-07"",""SUZUKI"",""UH125"",""LE"""
"2006-03-30,""2018-05-07"",""SUZUKI"",""UH 125"",""SE"""
"2007-07-16,""2018-05-07"",""YAMAHA"",""YP250R"",""Z"""
"2008-12-22,""2018-05-07"",""YAMAHA"",""YZF-R6"",""B"""
"1998-06-12,""2018-05-07"",""HONDA"",""SH 100"",""B"""
"2007-03-23,""2018-05-07"",""YAMAHA"",""YZF R1"",""J"""
"2018-01-19,""2018-05-07"",""TORROT"",""MUVI"",""CA"""
"2017-06-08,""2018-05-07"",""DUCATI"",""MONSTER 1200 R"",""M"""
"2017-02-15,""2018-05-07"",""YAMAHA"",""YP125R"",""B"""
"2014-01-16,""2018-05-07"",""HONDA"",""WW125"",""IB"""
"2007-08-14,""2018-05-07"",""HONDA"",""CB600F"",""CA"""
"2006-12-22,""2018-05-07"",""KYMCO"",""ZING"",""A"""
"2005-07-13,""2018-05-07"",""S.Y.M"",""JOYRIDE 125"",""GI"""
"2013-03-13,""2018-05-07"",""HONDA"",""SH125"",""MA"""
"2009-01-21,""2018-05-07"",""GAS-GAS"",""ENDUCROSS FSE"",""MA"""
"2007-11-30,""2018-05-07"",""HONDA"",""NES125"",""B"""
"2017-07-04,""2018-05-08"",""KAWASAKI"",""J125"",""M"""
"2015-08-26,""2018-05-08"",""KYMCO"",""AGILITY CITY 125"",""MA"""
"2006-05-17,""2018-05-08"",""KYMCO"",""ACTIV 125"",""TF"""
"2005-05-13,""2018-05-08"",""APRILIA"",""RS 125"",""L"""
"2008-02-07,""2018-05-08"",""KYMCO"",""GRAND DINK 125"",""SE"""
"2016-01-21,""2018-05-08"",""KAWASAKI"",""Z800"",""B"""
"2003-07-02,""2018-05-08"",""HONDA"",""CRB 600 RR"",""M"""
"1989-11-13,""2018-05-08"",""VESPA"",""PK 125 ELESTAR"",""M"""
"2015-09-29,""2018-05-08"",""YAMAHA"",""XP500"",""B"""
"1998-08-25,""2018-05-08"",""YAMAHA"",""YZF RI"",""TF"""
"2009-07-10,""2018-05-08"",""KAWASAKI"",""Z750"",""CS"""
"2007-12-04,""2018-05-08"",""HONDA"",""SH125"",""B"""
"2009-05-28,""2018-05-08"",""YAMAHA"",""XP500A"",""M"""
"2005-11-04,""2018-05-08"",""GAS-GAS"",""ENDUCROSS"",""B"""
"2011-12-12,""2018-05-08"",""SUZUKI"",""UH125"",""M"""
"2007-10-29,""2018-05-08"",""KYMCO"",""ZING 125"",""M"""
"2011-11-07,""2018-05-08"",""HONDA"",""SH125"",""B"""
"2017-07-21,""2018-05-08"",""KYMCO"",""AGILITY CITY 125"",""B"""
"1990-06-05,""2018-05-09"",""YAMAHA"",""FZR 600"",""V"""
"2008-09-26,""2018-05-09"",""AIYUMO"",""JL 125-11"",""GC"""
"2017-07-11,""2018-05-09"",""YAMAHA"",""XP530E-A  (TMAX)"",""B"""
"2009-02-04,""2018-05-09"",""S.Y.M"",""FIDDLE II 125"",""GI"""
"2007-01-04,""2018-05-09"",""YAMAHA"",""YBR125"",""A"""
"2008-05-21,""2018-05-09"",""JONWAY ITALIA"",""JONWAY ITALIA CJ"",""MA"""
"2003-04-03,""2018-05-09"",""YAMAHA"",""TT250R"",""CA"""
"1997-05-07,""2018-05-09"",""HONDA"",""SH100"",""B"""
"2006-08-07,""2018-05-09"",""SUZUKI"",""GSR 600"",""CA"""
"2011-10-24,""2018-05-09"",""PIAGGIO"",""BEVERLY 500"",""TF"""
"2014-04-24,""2018-05-09"",""PEUGEOT"",""TWEET"",""M"""
"2014-07-10,""2018-05-09"",""GAS-GAS"",""ENDUCROSS"",""SE"""
"1990-07-10,""2018-05-09"",""VESPA"",""IRIS 200"",""B"""
"2016-08-02,""2018-05-09"",""KAWASAKI"",""Z800 ABS"",""CU"""
"2010-07-02,""2018-05-09"",""YAMAHA"",""YZFR125"",""M"""
"2013-06-18,""2018-05-09"",""APRILIA"",""SRV 850 ABS"",""V"""
"2016-04-08,""2018-05-09"",""KAWASAKI"",""Z800ABS"",""B"""
"2005-07-18,""2018-05-10"",""PIAGGIO"",""X9 500 EV"",""M"""
"2007-02-19,""2018-05-10"",""KEEWAY"",""ARN 125"",""B"""
"2015-07-03,""2018-05-10"",""S.Y.M"",""WOLF SB125 NI"",""M"""
"2007-11-05,""2018-05-10"",""PIAGGIO"",""VESPA S 125"",""V"""
"1991-12-05,""2018-05-10"",""KAWASAKI"",""ZZR 600"",""M"""
"2016-05-31,""2018-05-10"",""HONDA"",""SH125AD"",""B"""
"2017-04-18,""2018-05-10"",""HONDA"",""SH125AD"",""B"""
"2001-11-09,""2018-05-10"",""HONDA"",""SH150"",""B"""
"2014-06-05,""2018-05-10"",""HONDA"",""SH125D"",""B"""
"2014-07-29,""2018-05-10"",""KAWASAKI"",""Z800 ABS"",""B"""
"2018-03-19,""2018-05-10"",""HONDA"",""WW125EX2"",""CA"""
"2008-01-16,""2018-05-10"",""SUZUKI"",""GSX650F"",""B"""
"2014-01-27,""2018-05-10"",""KTM"",""KTM 690 SMC-R"",""SO"""
"2013-03-21,""2018-05-10"",""SUZUKI"",""SFV650A"",""B"""
"2005-05-24,""2018-05-10"",""PIAGGIO"",""BEVERLY 125"",""B"""
"2016-10-20,""2018-05-10"",""HONDA"",""WW125EX2"",""CA"""
"2005-11-08,""2018-05-10"",""HONDA"",""CBR600RR"",""B"""
"2015-07-03,""2018-05-10"",""YAMAHA"",""MW125"",""B"""
"2005-07-26,""2018-05-10"",""HONDA"",""SH125"",""B"""
"2010-06-11,""2018-05-10"",""HONDA"",""SH300A"",""B"""
"1991-06-21,""2018-05-10"",""HONDA"",""VFR750F"",""B"""
"2014-03-03,""2018-05-10"",""HONDA"",""SH125AD"",""B"""
"2016-09-15,""2018-05-10"",""HONDA"",""SH125AD"",""B"""
"2005-02-16,""2018-05-10"",""SUZUKI"",""GSX R 600"",""M"""
"2011-06-09,""2018-05-10"",""HONDA"",""WW125EX2"",""CA"""
"2015-05-08,""2018-05-10"",""HONDA"",""SH125D"",""B"""
"2017-03-31,""2018-05-10"",""KAWASAKI"",""Z900 ABS"",""M"""
"2016-05-06,""2018-05-11"",""HONDA"",""CBR125R"",""MA"""
"1992-05-28,""2018-05-11"",""KAWASAKI"",""GPZ 500 S"",""B"""
"1991-04-04,""2018-05-11"",""VESPA"",""IRIS 200"",""M"""
"2017-05-12,""2018-05-11"",""PEUGEOT"",""TWEET"",""IB"""
"2000-05-16,""2018-05-11"",""DUCATI"",""ST 2"",""L"""
"1998-12-01,""2018-05-11"",""PIAGGIO"",""HEXAGON 125 RST"",""M"""
"2008-02-12,""2018-05-11"",""HONDA"",""PES125"",""B"""
"2018-03-22,""2018-05-11"",""KYMCO"",""XCITING 400I"",""CO"""
"2007-11-30,""2018-05-11"",""YAMAHA"",""YZF R6"",""M"""
"2005-07-21,""2018-05-11"",""HONDA"",""SES125"",""B"""
"2017-02-22,""2018-05-11"",""KAWASAKI"",""Z900 ABS"",""M"""
"2018-03-27,""2018-05-11"",""HONDA"",""SH300A"",""B"""
"2016-05-09,""2018-05-11"",""PEUGEOT"",""TWEET"",""B"""
"2005-01-11,""2018-05-11"",""HONDA"",""SES125"",""B"""
"2008-03-04,""2018-05-11"",""YAMAHA"",""YZF R6R"",""M"""
"2006-08-08,""2018-05-11"",""KYMCO"",""BETÑWIN 125"",""V"""
"2014-09-18,""2018-05-11"",""YAMAHA"",""XP500"",""SE"""
"2007-11-08,""2018-05-11"",""HONDA"",""SH125"",""B"""
"2017-06-06,""2018-05-11"",""HONDA"",""SH300A"",""B"""
"2015-11-26,""2018-05-11"",""HONDA"",""SH125D"",""B"""
"2001-05-24,""2018-05-11"",""HONDA"",""CBR600F"",""B"""
"1998-12-28,""2018-05-11"",""YAMAHA"",""TW125"",""CA"""
"2015-04-23,""2018-05-11"",""HONDA"",""SH125AD"",""B"""
"1994-09-13,""2018-05-11"",""SUZUKI"",""LIDO"",""AL"""
"2018-04-17,""2018-05-11"",""HONDA"",""WW125EX2"",""SE"""
"2011-03-30,""2018-05-11"",""SUZUKI"",""UH125"",""ZA"""
"2001-01-05,""2018-05-11"",""YAMAHA"",""4NB XC125T"",""GI"""
"2013-08-06,""2018-05-11"",""HONDA"",""SH300"",""B"""
"2013-03-27,""2018-05-12"",""SUZUKI"",""UH200G"",""SE"""
"2016-02-11,""2018-05-12"",""YAMAHA"",""MW125"",""B"""
"2008-06-19,""2018-05-12"",""PIAGGIO"",""VESPA S 125"",""Z"""
"2006-03-29,""2018-05-12"",""S.Y.M"",""EURO MX 125"",""IB"""
"2013-08-26,""2018-05-12"",""HONDA"",""SH125AD"",""SE"""
